experiment_name,seeds,gamma,max_min_alpha_ratio_mean,validation_macro_f1_mean,validation_macro_f1_std,test_macro_f1_mean,test_macro_f1_std,test_accuracy_mean,test_accuracy_std
gamma1_alpha_effective_beta0999,3,1.0,2.5523276483341646,0.6295460388644027,0.0011068444924004935,0.6335586608584253,0.007698752846983695,0.6927378358750907,0.005682614425414484
gamma2_alpha_effective_beta0999,3,2.0,2.5523276483341646,0.6271186512936109,0.0019622672405956144,0.6288993733015094,0.008439893133539047,0.6896151053013798,0.002801350983585445
gamma1_alpha_sqrt_inverse_frequency,3,1.0,5.098624898453581,0.621532279521503,0.0016944851549753317,0.6231218031382257,0.00466064655303774,0.6776325344952796,0.0030989961210387924
gamma2_alpha_sqrt_inverse_frequency,3,2.0,5.098624898453581,0.620323776916887,0.00033492438008491185,0.62465967368842,0.006744385219364672,0.676325344952796,0.002724037666450416
gamma2_alpha_capped_cap3,3,2.0,7.473968376397994,0.6100336631883833,0.0016643446973689348,0.6071005825963326,0.003087930770520645,0.6489469862018882,0.002801350983585445
gamma1_alpha_capped_cap3,3,1.0,7.473968376397994,0.6083764237201338,0.0022489821916642544,0.6037474641375382,0.0009423987784503912,0.6503994190268699,0.0030604658686573458
