run_dir,best_model_checkpoint,best_metric,global_step
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed0_20260702_085518/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed0_20260702_085518/checkpoints/checkpoint-2270,0.6195761461872288,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed0_20260702_085518/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed0_20260702_085518/checkpoints/checkpoint-2270,0.6195761461872288,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed1_20260702_090211/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed1_20260702_090211/checkpoints/checkpoint-2270,0.6050899581448073,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed1_20260702_090211/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed1_20260702_090211/checkpoints/checkpoint-3405,0.6224724420419321,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed42_20260702_084815/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed42_20260702_084815/checkpoints/checkpoint-2270,0.6225482503353483,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed42_20260702_084815/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed42_20260702_084815/checkpoints/checkpoint-2270,0.6225482503353483,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed0_20260702_095809/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed0_20260702_095809/checkpoints/checkpoint-2270,0.605168832281855,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed0_20260702_095809/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed0_20260702_095809/checkpoints/checkpoint-3405,0.6082478154387493,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed1_20260702_100500/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed1_20260702_100500/checkpoints/checkpoint-2270,0.5861345770753438,2270
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed1_20260702_100500/checkpoints/checkpoint-3405,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed1_20260702_100500/checkpoints/checkpoint-3405,0.6115414887894993,3405
/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed42_20260702_095119/checkpoints/checkpoint-2270,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed42_20260702_095119/checkpoints/checkpoint-2270,0.610311685336901,2270
