control_name,seeds,generated_synthetic_examples_mean,validation_macro_f1_mean,validation_macro_f1_std,test_macro_f1_mean,test_macro_f1_std,test_accuracy_mean,test_accuracy_std,mean_semantic_similarity,passed_similarity_filter_count_mean
bt_diverse_x2,3,6266.0,0.6079566046017556,0.008608685181973242,0.6173368020820469,0.0058103768670781115,0.6847494553376906,0.0023056656305574462,,
bt_similarity_filtered_x3,3,9399.0,0.5962336834449052,0.009572006304959236,0.6107004152699577,0.0012890768686304066,0.6753086419753087,0.009156376600887776,0.8745844496314515,8115.0
bt_single_x1,3,3133.0,0.6254132737452419,0.0025301391975581103,0.6218941671338993,0.006115593240965428,0.6885984023238926,0.003725001772906958,,
direct_duplication_x3,6,9399.0,0.6072484234963813,0.005943653762421442,0.6140920420109869,0.0031718871550126394,0.6817719680464779,0.004453548424169082,,
random_oversampling_x3,6,9399.0,0.6183814318894045,0.0008971726690679908,0.6170369326525118,0.0008135921998078686,0.6817719680464779,0.0033203262439900107,,
