experiment_name,seeds,max_min_weight_ratio_mean,validation_macro_f1_mean,validation_macro_f1_std,test_macro_f1_mean,test_macro_f1_std,test_accuracy_mean,test_accuracy_std
calibrated_power025_cap3,3,2.2580134850025986,0.6334826828708776,0.0014989844655539787,0.6317896073510759,0.0042736588939941,0.6918663761801017,0.0022039202477115334
effective_number_beta0999,3,2.5523276483341646,0.631023886989223,0.0016676303548039187,0.6353656017124802,0.0015619312745595245,0.6915032679738561,0.0012130205583507497
calibrated_power050_cap3,3,4.735177412641894,0.6254555077721995,0.0038694035832745736,0.6241502600000858,0.005391071511817162,0.677923021060276,0.003813154856303604
sqrt_inverse_frequency,3,5.098624898453581,0.624782689528554,0.004447409648688852,0.622166780724585,0.003870587864586535,0.676470588235294,0.002396514161220026
calibrated_power075_cap3,3,5.948997078392256,0.6159536450317619,0.0003050023371115592,0.6148728175590795,0.0034383634431416803,0.6627450980392157,0.00362599498411619
capped_inverse_frequency_cap3,3,7.473968376397994,0.6098348681834492,0.000973977151896414,0.607268525556445,0.0003434899753605861,0.6542483660130719,0.00037735311711740917
effective_number_beta09999,3,14.958422873729788,0.6074026866636464,0.0030980186318747115,0.6130890928784193,0.006003595264997518,0.6663761801016702,0.0041585005961424296
capped_inverse_frequency_cap5,3,12.456613960663324,0.6022099382228535,0.002565487246888818,0.6021396327199716,0.003929762298551073,0.6514887436456064,0.002193125471393142
